time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
179,23.43386285,1785.129302,122.9230143,17.254908,0,0,40.57715145,-105.0959646,152026.9116,2061.763003,5.303802522,5,2,69.71545827
180,24.72035973,1503.845162,101.5,17.254908,0,0,40.57705652,-105.0959711,152040.3725,2072.335922,7.9375,5.61973414,2,59.14253971
181,25.95928571,1473.775425,135,17.254908,0,0,40.57695685,-105.0959765,152021.0416,2083.43092,7.092030178,6,2,48.04754177
182,27.39992323,1555.371217,131.4117971,17.254908,0,0,40.57685429,-105.0959784,151987.8795,2094.836787,2.6875,6,2,36.64167416
183,28.68522614,1632.480003,125,18.039222,0,0,40.57674603,-105.0959802,152014.1096,2106.875609,-0.370722473,6,2,24.60285298
184,30.03470294,1707.601272,120,18.039222,0,0,40.57663179,-105.095983,152039.4183,2119.580554,5.25,6,2,11.89790741
185,31.24823815,1805.027841,95.57249282,16.470594,0,0,40.5765127,-105.0959866,152051.5751,2132.826643,4.69024998,6,2,210.1431165
186,32.14760263,1871.572015,81.5,10.196082,0,0,40.57638906,-105.0959905,152083.0068,2146.579078,5.127753268,6,2,196.3906814
187,32.41809014,1481.24473,20.30676208,0,0,0,40.57626209,-105.0959944,152065.8403,2160.70048,10.28254843,6,2,182.2692792
188,32.55181883,1266,-12.5,0,0,0,40.57613075,-105.0959956,152010.129,2175.306689,5.282516108,7,2,167.6630706
189,31.85497267,1222.311025,-21.09869753,0,0,0,40.57600119,-105.0959959,152018.0792,2189.71312,2.344359314,7,2,153.256639
190,31.58907303,1253.134684,11.32085544,7.84314,0,0,40.57587501,-105.0959972,152036.3206,2203.744536,3.468279251,7,2,139.2252233
191,31.51516041,1227.520601,43.82918457,9.803925,0,0,40.57574927,-105.0959987,152028.9016,2217.726988,2.75,7,2,125.2427716
192,31.93364139,1412.610294,107.3141336,15.294123,0,0,40.57562388,-105.0960007,152055.7539,2231.670416,6.09439149,7,2,111.2993433
193,32.9559387,1364.919389,115.5,14.97225809,0,0,40.57549659,-105.0960029,152024.7036,2245.825262,2.875,7,2,97.14449748
194,33.47636263,1402.786214,64.5,12.549024,0,0,40.57536621,-105.0960053,151940.3676,2260.324909,4.498318769,7,2,82.64485047
